標題,演出者,專輯/來源,時長(mm:ss),時長(秒),合作名單,標記
不刪, 井朧,不刪,4:25,265,,
听说你 (说唱版),于冬然; 歪歪超,听说你（说唱版）,3:47,227,,
家楼下便利店,zhou6,家楼下便利店,2:28,148,,
一直很安靜,阿桑,仙劍奇俠傳電視原聲帶,4:11,251,,
the alternative,Lyn Lapid,to love in the 21st century,3:04,184,,
Last Forever,Bob Moses,Last Forever,5:10,310,,
886,函几,886,3:35,215,,
Blame (合作演出：Masiwei、Bohan Phoenix和J.Mag),Harikiri,339,3:04,184,Masiwei、Bohan Phoenix和J.Mag,
阿司匹林,王以太,演.说.家,3:23,203,,
"MOVE ON - kkluv/thomeboydontkill/羅言 ""你像帶刺的玫瑰""［中文歌詞 - lyrics video］",,Magic Fox,3:02,182,,
[Vietsub] Quỷ Tân Nương - Chỉ Tiêm Tiếu / 诡新娘 - 指尖笑,,Ying Jie - 英杰,3:39,219,,
走不出的回憶,任然,走不出的回憶,3:45,225,,
若能再见,王靖雯,若能再见,4:31,271,,
a good man with a broken heart,LoVibe.,a good man with a broken heart,1:59,119,,
撞地球 (DJ阿卓版),鱼儿七,撞地球,2:26,146,,
绿色,陈雪凝,绿色,4:30,270,,
Sorry,Halsey,hopeless fountain kingdom (Deluxe),3:41,221,,
Smokin' With Myself,Cartoons; Weed,Smokin' With Myself,3:17,197,,
初春,趙翊帆,初春,3:06,186,,
遗憾吗,承桓,遗憾吗,3:22,202,,
回忆见,陈雪凝,回忆见,4:36,276,,
河南浪漫宣言,刀酱,河南浪漫宣言,2:46,166,,
Drugs I Like,nate band,Drugs I Like,3:19,199,,
Tally,BLACKPINK,BORN PINK,3:05,185,,
1800 (合作演出：Ironmouse),bbno$,1800,3:28,208,Ironmouse,
想你,姜云升; 顾帅Gs,想你,3:26,206,,
Save Me,LU2VYK,Save Me,3:06,186,,
Ascend (My Mind Edit),Dezko,Ascend,3:20,200,,Edit
gaslight,Nessa Barrett,young forever,3:17,197,,
恋爱告急,鞠婧祎,恋爱告急,4:14,254,,
I’d Rather Overdose (合作演出：Z),honestav,I’d Rather Overdose,3:56,236,Z,
莫愁乡,亞細亞曠世奇才,莫愁乡,2:17,137,,
免我蹉跎苦,黄龄,免我蹉跎苦,3:11,191,,
GASOLINA & COCAINA,HEDEGAARD,GASOLINA & COCAINA,3:13,193,,
第一万零一次告白-夏日入侵企画 (《你的婚礼》电影插曲)『如果说 还要和你有一万次的错过 追一万零一次 又如何』【动态歌词Lyrics】,,KKY Music Studio,5:42,342,,
回不去的夏天,夏日入侵企画,回不去的夏天,4:46,286,,
谁在幸福呢,于冬然,谁在幸福呢,3:39,219,,
弱,joysaaaa,弱,3:32,212,,
座位,承桓,座位,3:29,209,,
Mr. Brightside,The Killers,Hot Fuss,3:43,223,,
看着我的眼睛说 (Live),姚晓棠和张远,天赐的声音第六季 第7期,4:41,281,,Live
我把我的青春給你,好樂團,我把我的青春給你,4:04,244,,
中國老總,閩南狼PYC,林北,2:59,179,,
不用去猜,Jony J,不用去猜,3:33,213,,
山脚,Jony J,24时,3:17,197,,
The List,Maisie Peters,The List,3:20,200,,
Your Imagination,Afinity; Casey Cook,Your Imagination,3:58,238,,
Bad Blood (Taylor's Version),Taylor Swift,1989 (Taylor's Version),3:32,212,,Version
Best of The Chainsmokers Mashup by Krimsonn,,Krimsonn,3:00,180,,
徐心愉 - 自娱自乐 (抖音女生版)『我学着一个人一整天都不失落，就让我喝醉了唱着歌自娱自乐。』【动态歌词】翻唱,,Lyrics Music,3:43,223,,
感谢你曾来过,阿涵; Ayo97,感谢你曾来过,4:11,251,,
Good (合作演出：Jocko Willink),Akira The Don,Good,6:22,382,Jocko Willink,
双相,SipSu小口酥; 陈奕楠,双相,3:02,182,,
執子之手,寶石Gem; 哩哩,黑怕盲盒Vol.2心動系列,3:11,191,,
情歌,en,情歌,3:57,237,,
Step Back!,1nonly; SXMPRA,Step Back!,2:31,151,,
删 (句句是遗憾),阮妍霏; 马骆闻,删 (句句是遗憾),3:24,204,,
Jace June - Come Home (Lyrics) baby come home i need you to hold me,,Nightdrives,2:19,139,,
有的人 (合作演出：朴鲨),王齐铭WatchMe,夜郎溪,3:07,187,朴鲨,
防火线 (合作演出：刘柏辛),Jony J,防火线,4:21,261,刘柏辛,
情歌 (治愈版),甘草片r,情歌 (治愈版),3:26,206,,
浪漫主义2.0,姜云升,浪漫主义2.0,2:55,175,,
爱情转移 (完整版),戴羽彤,爱情转移,3:23,203,,
不遗憾了吧,承桓,不遗憾了吧,3:18,198,,
我愛妳但是我要回家 (架子鼓),ET; Happer; 無面小生; 口古口古,我愛妳但是我要回家 (架子鼓),3:14,194,,
或許,LBI利比,或許,3:42,222,,
"Not snow,but U",七元,"Not snow,but U",3:49,229,,
Snow Rally,valtis,Snow Rally,2:37,157,,
redrum,21 Savage,american dream,4:31,271,,
婚纱,承桓,婚纱,3:43,223,,
