title,artist,path,bpm,energy
Sweet Liar,Mia Vaile,media/Sweet Liar.mp3,83,0.26
9277,北島詩,media/北島詩 - 9277(女聲版)「要我唱幾首歌才能夠將你捕捉」動態歌詞版.mp3,123,0.34
Trust Fund Baby,Why Don't We,media/Trust Fund Baby.mp3,161,0.3
When I Grow Up,NF,media/When I Grow Up.mp3,112,0.31
2022 DJ抖音版 - 爱拼才会赢 - Ai pia cia e ya - Remix Tiktok Douyin -  Bekerja Keras Baru Bisa Sukses  #DJ抖音版,Unknown Artist,media/2022 DJ抖音版 - 爱拼才会赢 - Ai pia cia e ya - Remix Tiktok Douyin -  Bekerja Keras Baru Bisa Sukses  #DJ抖音版.mp3,117,0.33
Born To Die,Lana Del Rey,media/Born To Die.mp3,86,0.25
Just A Dream,"Kurt Hugo Schneider, Christina Grimmie, Sam Tsui",media/Just A Dream.mp3,161,0.21
Great Spirit (Extended Mix),Armin van Buuren,media/Great Spirit (Extended Mix).mp3,136,0.32
Hold Me,KEAN DYSSO · KEAN DYSSO,media/Hold Me.mp3,123,0.3
DICTATOR,Sarah Yeeun Lee,media/DICTATOR.mp3,129,0.3
Waiting for the Summer,Bob van Ratingen,media/Waiting for the Summer.mp3,117,0.31
Drenched,Wanting,media/Drenched.mp3,108,0.22
u ok,Tate McRae,media/r u ok.mp3,144,0.27
Favorite Part Of Me (R3HAB Remix),Astrid S,media/Favorite Part Of Me (R3HAB Remix).mp3,103,0.28
Mercy,Jauz · Masked Wolf,media/Mercy.mp3,152,0.38
Hot Stuff,Kygo · Donna Summer,media/Hot Stuff.mp3,117,0.28
Your Love's Like,Sabrina Carpenter,media/Your Love's Like.mp3,78,0.21
Our Time Together (feat. Marie Elizabeth),Ivan B,media/Our Time Together (feat. Marie Elizabeth).mp3,103,0.17
Temperance,Royal & the Serpent,media/Temperance.mp3,89,0.24
Эндорфин,Макс Корж · Макс Корж · Макс Корж,media/Эндорфин.mp3,129,0.31
Happier Than Ever,Billie Eilish,media/Happier Than Ever.mp3,161,0.25
Let You Go (feat. Ember Island),Illenium,media/Let You Go (feat. Ember Island).mp3,108,0.29
One Life,Ed Sheeran,media/One Life.mp3,161,0.25
Heaven,SJ · Katelyn Tarver,media/Heaven.mp3,161,0.26
I'M SOLO,SoloCelo,media/I'M SOLO.mp3,161,0.28
Kurt Hugo Schneider,Champions,media/Champions - Kurt Hugo Schneider (KHS) ft Andie Case  Lyrics videos.mp3,152,0.23
出山,花粥,media/出山.mp3,103,0.27
Breathe,ZABO,media/ZABO - Breathe (Official Visualizer).mp3,99,0.35
Brave,Ella Henderson,media/Brave.mp3,74,0.28
Scare Me (feat. Karra),LUM!X · KSHMR · Gabry Ponte · Karra,media/Scare Me (feat. Karra).mp3,136,0.31
Young God,Halsey,media/Young God.mp3,123,0.25
Blinding Lights (Remix),The Weeknd · ROSALÍA,media/Blinding Lights (Remix).mp3,86,0.28
The DJ is Crying for Help,AJR,media/The DJ is Crying for Help.mp3,144,0.29
abcdefu (feat. Royal & the Serpent),GAYLE · Royal & the Serpent,media/abcdefu (feat. Royal & the Serpent).mp3,123,0.22
Sideways,Forest Blakk,media/Sideways.mp3,152,0.27
We're Just Kids,Morgan Parriott,media/We're Just Kids.mp3,152,0.31
ur just horny,GAYLE,media/ur just horny.mp3,89,0.24
Knees,Bebe Rexha,media/Knees.mp3,108,0.24
Let Me Move You (From the Netflix film Work It),Unknown Artist,media/Let Me Move You (From the Netflix film Work It).mp3,117,0.32
champagne problems,Taylor Swift,media/champagne problems.mp3,86,0.19
That's What I Call Crazy,Lucy Hale,media/That's What I Call Crazy.mp3,96,0.26
End Of The Night,Danny Avila,media/End Of The Night.mp3,99,0.27
Running Up That Hill (BLVCK CROWZ Edit),Kilian K · Blaze U · BLVCK CROWZ · Luke Madness,media/Running Up That Hill (BLVCK CROWZ Edit).mp3,86,0.39
Does She Know,Astrid S,media/Does She Know.mp3,185,0.33
Knockout (Da Tweekaz Remix),Tungevaag,media/Knockout (Da Tweekaz Remix).mp3,99,0.3
Stronger (What Doesn't Kill You),Kelly Clarkson,media/Stronger (What Doesn't Kill You).mp3,117,0.28
Drown (feat. Clinton Kane) (Nicky Romero Remix),Martin Garrix · Clinton Kane · Nicky Romero,media/Drown (feat. Clinton Kane) (Nicky Romero Remix).mp3,123,0.26
untitled,"semmmyq, shinra",media/untitled.mp3,172,0.31
Pmac,One,media/Pmac - One.mp3,92,0.23
Unmiss You,Clara Mae,media/Unmiss You.mp3,103,0.22
Let It Be Me (feat. Ava Max),David Guetta · Ava Max,media/Let It Be Me (feat. Ava Max).mp3,103,0.25
Should've Said No (Live From Clear Channel Stripped 2008),Taylor Swift,media/Should've Said No (Live From Clear Channel Stripped 2008).mp3,86,0.24
Problems,DeathbyRomy,media/Problems.mp3,144,0.33
All For Love,Tungevaag · Raaban · Richard Smitt,media/All For Love.mp3,123,0.31
Carnival (Dimitri Vegas & Like Mike Edit),X-Tof · Timmy Trumpet · MATTN · Wolfpack · Dimitri Vegas & Like Mike,media/Carnival (Dimitri Vegas & Like Mike Edit).mp3,129,0.29
Big City Life,Marlon Roudette,media/Big City Life.mp3,86,0.31
How Far I'll Go,Da Tweekaz,media/How Far I'll Go.mp3,152,0.29
Letters,Lucas & Steve,media/Letters.mp3,123,0.2
Thrift Shop (feat. Wanz),"Macklemore, Ryan Lewis",media/Thrift Shop (feat. Wanz).mp3,96,0.23
In Too Deep (feat. Mylki) (Firelite Remix),Fresh Til’ Death · Mylki · Firelite,media/In Too Deep (feat. Mylki) (Firelite Remix).mp3,152,0.37
I'm Not The Only One,Sam Smith,media/I'm Not The Only One.mp3,83,0.27
Better When You're Gone,Brooks,media/Better When You're Gone.mp3,129,0.29
Drugs (feat. Two Feet),Taylor Upsahl,media/Drugs (feat. Two Feet).mp3,152,0.32
"You're On Your Own, Kid",Taylor Swift,"media/You're On Your Own, Kid.mp3",117,0.27
Nights With You,MØ,media/Nights With You.mp3,117,0.32
Take Me Back to London (feat. Stormzy),Ed Sheeran · Stormzy,media/Take Me Back to London (feat. Stormzy).mp3,136,0.26
Better Not Together,Anne-Marie Nicholson,media/Better Not Together.mp3,83,0.26
All Your Exes,Julia Michaels,media/All Your Exes.mp3,112,0.29
